ticker,timestamp,open,high,low,close,volume,ema_9,ema_21,ema_50,ema_200,rsi,adx,atr,supertrend,vwap,fvg_bullish,fvg_bearish,liquidity_sweep,volume_spike,market_regime,volatility_regime,signal_type,outcome,target_hit,stop_hit,holding_period
TCS,2025-12-10,3167.41989738469,3167.41989738469,3121.357359750894,3132.259033203125,1386849,3134.0487257265595,3096.693340084093,3054.556276790856,3214.1721141871653,58.34586353743315,56.381366026609456,46.30815891402445,3050.013995452296,3539.5499721429865,0,0,0,0,-1,0,BUY,WIN,1,0,6
TCS,2025-12-11,3147.7768486239356,3151.1160479641035,3096.8035846478047,3134.91064453125,1914362,3134.221109487498,3100.16764048838,3057.7074285278154,3213.3740290322066,57.85469123779087,56.60507232369309,47.74628370978199,3050.013995452296,3538.8658235684557,0,0,0,0,-1,1,BUY,WIN,1,0,6
TCS,2025-12-16,3162.509118995985,3162.509118995985,3134.1252044928165,3147.875244140625,1734623,3146.764553760725,3115.205483945123,3069.3811846804706,3211.810700277167,58.39974983721607,55.2650307712592,45.89421984391005,3050.013995452296,3537.391637139337,0,0,0,0,-1,0,BUY,WIN,1,0,3
TCS,2025-12-26,3253.9468611908032,3260.7235702886815,3213.384197736604,3221.437744140625,1176664,3217.2029297354675,3172.346555783859,3108.7701888123547,3213.0187421543114,57.01815012921449,44.904359660675254,44.11230835659561,3126.6314748110326,3533.434063510311,0,0,0,0,1,0,BUY,LOSS,0,1,3
TCS,2025-12-29,3221.437683809396,3229.294848891858,3184.9999848268185,3193.446533203125,2079473,3212.4516504289995,3174.264735549247,3112.090829810161,3212.8219139616617,52.310538733869336,40.27525199646251,43.67737869169306,3126.6314748110326,3532.848195719386,0,1,0,0,-1,0,BUY,LOSS,0,1,2
TCS,2025-12-30,3191.973384551631,3209.160933545371,3181.6608551553877,3188.83056640625,2807593,3207.72743362445,3175.5889019907927,3115.1002312812675,3212.5806702757345,56.393215794149015,38.19133124279239,41.76220334922794,3126.6314748110326,3532.0381406689403,0,1,0,0,-1,0,BUY,LOSS,0,1,1
TCS,2026-01-02,3176.2591039024273,3196.196709004467,3162.017991655493,3192.660888671875,1184324,3191.1192018750944,3174.659546091822,3121.4274844737674,3211.327518243309,54.496738790076684,32.83687095436426,40.324098186278306,3126.6314748110326,3530.2378636812678,0,0,0,0,-1,0,BUY,LOSS,0,1,1
TCS,2026-01-06,3152.6876022111082,3204.9377039238207,3147.7768738587542,3197.669921875,2912325,3187.238867325061,3175.4306682577044,3125.8209288875246,3210.6663864460306,56.754579962815846,27.667059896100252,42.98293011394282,3126.6314748110326,3528.659365148254,0,0,0,0,-1,0,BUY,LOSS,0,1,0
TCS,2026-01-07,3185.0000101265678,3241.6700055592964,3165.651788913644,3236.75927734375,1989442,3197.142949328799,3181.0059963564363,3130.1714523972946,3210.9286006447905,59.66698850941096,25.90510164133553,45.85923083733197,3126.6314748110326,3528.134557636159,0,0,0,0,1,0,BUY,LOSS,0,1,0
INFY,2025-02-12,1830.8182412610952,1840.142278618334,1793.9104995274497,1809.5963134765625,5633947,1825.608636202637,1827.6459359618161,1833.456726423233,1768.799686830231,47.967644798870275,25.741966508139807,39.876997193557436,1899.3451588903386,1634.5431713564067,0,0,0,0,1,1,SELL,LOSS,0,1,5
INFY,2025-04-24,1427.6496829084983,1440.2760150192205,1419.4911061400271,1429.1065673828125,7114292,1409.8463404000981,1450.5796663774292,1557.3029231517583,1684.4625719027767,42.95578121987274,48.12457636538896,51.101953941380025,1474.2943526003223,1613.9707878870977,1,0,0,0,-1,2,SELL,WIN,0,0,0
INFY,2025-04-25,1433.0887071514799,1458.535575435,1421.4336312546193,1437.653564453125,8329979,1415.4077852107037,1449.4045662024907,1552.6107410435582,1681.8575797689505,40.70430552196588,45.66026719306861,51.729789475158846,1474.2943526003223,1613.2677060410317,0,0,0,0,-1,2,SELL,WIN,1,0,10
INFY,2025-04-28,1437.6534907325017,1446.7833234291916,1423.1818670852326,1439.4989013671875,5886253,1420.2260084420006,1448.5040512174621,1548.1749368521491,1679.3011047054106,47.78120076285143,42.81270115645458,48.89926000546073,1474.2943526003223,1612.7665760682492,0,0,0,0,-1,2,SELL,WIN,1,0,9
INFY,2025-05-22,1510.7890929485561,1515.936798484799,1495.7346211126817,1503.01904296875,6158990,1516.2590027807507,1499.4530758739756,1527.5547276091297,1650.3048649705595,56.35166010594162,74.19782009139682,34.049516472808186,1440.6352862799104,1606.8036656514353,0,0,0,0,-1,1,BUY,LOSS,0,0,0
INFY,2025-05-23,1505.447258808557,1541.5779455953386,1505.447258808557,1519.8218994140625,5038421,1516.9715821074133,1501.304787104893,1527.251477921613,1648.941984071901,58.383042129587444,72.85000643227632,35.40234302976671,1440.6352862799104,1606.6103531457863,0,0,0,0,-1,1,BUY,LOSS,0,0,0
INFY,2025-05-26,1521.5700705826603,1538.275749801986,1517.782147363295,1535.070556640625,3170102,1520.5913770140558,1504.374402517233,1527.5581099392127,1647.7531969771123,59.91378454153074,72.24895425960257,35.721476900635416,1440.6352862799104,1606.5008067945425,1,0,0,0,-1,1,BUY,LOSS,0,0,0
